55,102,"1998-04-02","1998-03-03","Mike Robinson","Nick Fountain","","Maida Vale 4"
56,103,"1994-03-25","1994-02-22","Mike Robinson","Chrissie Boucher","","Maida Vale 4"
57,104,"1978-12-20","1978-12-12","Tony Wilson","Mike Robinson","","Maida Vale 4"
58,105,"1997-05-07","1997-03-30","Mike Engles","Lisa Softley","","Maida Vale 4"
59,106,"1985-10-29","1985-10-06","Dale Griffin","James Birtwistle","","Maida Vale 5"
59,107,"1986-06-23","1986-06-10","Dale Griffin","Mike Robinson","Fred Kay","Maida Vale 4"
60,108,"1979-06-20","1979-06-12","Trevor Dann","Mike Robinson","","Maida Vale 4"
61,109,"2002-01-08","2001-12-09","Guy Worth","Miti Adhikari","","Maida Vale 4"
62,110,"0000-00-00","2001-04-01","Mike Engles","Jaimie Hart","","Maida Vale 4"
63,111,"1973-01-18","1973-01-08","Bernie Andrews","Nick Gomm","","Langham 1"
63,112,"1973-12-11","1973-11-12","Unknown","Bob Conduct","","Studio T1, Transcription Service, Kensington House"
63,113,"1975-05-29","1975-05-22","Unknown","Unknown","","Maida Vale 4"
63,114,"1976-04-06","1976-03-11","Unknown","Unknown","","Maida Vale 4"
64,115,"1973-03-01","1972-02-19","Bernie Andrews","Bob Conduct","","Langham 1"
64,116,"1972-07-04","1972-06-19","John Walters","Bob Conduct","","Playhouse Theatre, Northumberland Avenue"
64,117,"1976-09-06","1976-07-22","Tony Wilson","Bill Aitken","","Maida Vale 4"
64,118,"1977-06-08","1977-05-31","Jeff Griffin","Mike Robinson","","Maida Vale 4"
64,119,"1978-04-20","1978-04-11","Malcolm Brown","Unknown","","Maida Vale 4"
65,120,"1995-11-03","1995-09-01","","","","Artist's own studio"
66,121,"2000-03-22","2000-02-09","Mike Robinson","Jamie Hart","","Maida Vale 4"
66,122,"2001-01-23","2001-01-10","Simon Askew","Guy Worth","","Maida Vale 4"
67,123,"1984-05-15","1984-05-02","Roger Pusey","Nick Gomm","","Maida Vale 5"
67,124,"1984-09-03","1984-08-25","Dale Griffin","Martin Colley","","Unknown"
68,125,"1981-09-08","1981-08-29","Dale Griffin","Martin Colley","","Maida Vale 4"
69,126,"0000-00-00","2002-01-23","Simon Askew","","","Maida Vale 4"
71,127,"1980-10-14","1980-10-07","John Sparrow","Mike Robinson","","Maida Vale 4"
71,128,"1981-03-10","1981-03-02","Dale Griffin","Dave Dade","","Langham 1"
71,129,"1981-09-22","1981-09-04","Dale Griffin","Harry Parker","","Maida Vale 4"
72,130,"1991-11-24","1991-10-27","Dale Griffin","Mike Engles","B. Jordan","Maida Vale 3"
73,131,"1977-12-12","1977-12-05","Tony Wilson","Dave Dade","","Maida Vale 4"
75,132,"2002-01-30","2002-01-30","Andy Rogers","Simon Askew","","Maida Vale 4"
75,133,"0000-00-00","2002-04-03","Simon Askew","Nick Fountain","","Maida Vale 4"
76,134,"1995-02-11","1995-01-15","Mike Engles","Julia Carney","","Maida Vale 3"
77,135,"1973-05-29","1973-05-08","John Walters","Bob Conduct","","Aeolian Hall, Studio 2"
79,136,"2003-12-16","2003-11-13","Simon Askew","Nick Fountain","","Maida Vale 4"
80,137,"1985-05-17","1985-04-12","Tony Wilson","Dave Dade","","Maida Vale 4"
81,138,"1984-04-26","1984-04-07","Dale Griffin","Martin Colley","","Maida Vale 5"
82,139,"0000-00-00","1986-09-21","","","",""
83,140,"0000-00-00","0000-00-00","","","",""
84,141,"1975-11-17","1975-10-21","Tony Wilson","Bill Aitken","","Maida Vale 4"
84,142,"1977-02-07","1977-01-31","Tony Wilson","Dave Dade","","Maida Vale 4"
85,143,"1975-04-17","1975-04-10","Pete Ritzema","Bill Aitken","","Maida Vale 4"
86,144,"1974-07-16","1974-06-24","John Walters","Unknown","","Studio T1, Transcription Service, Kensington House"
87,145,"1978-10-30","1978-10-24","John Etchells","Mike Robinson","","Maida Vale 4"
87,146,"1980-10-01","1980-09-17","Dale Griffin","Nick Gomm","","Maida Vale 4"
87,147,"1981-06-29","1981-06-23","Dale Griffin","Mike Robinson","","Langham 1"
88,148,"0000-00-00","1999-12-15","Mike Engles","Nick Fountain","","Maida Vale 4"
89,149,"1981-07-08","1981-07-01","Chris Lycett","Nick Gomm","","Langham 1"
90,150,"1986-08-04","1986-07-22","Dale Griffin","Mike Robinson/Mike Shilling","","Unknown"
90,151,"1989-09-11","1989-08-08","Dale Griffin","Miti Adhikari","","Maida Vale 3"
90,152,"1993-05-21","1993-04-13","Mike Engles","Mike Engles","","Maida Vale 3"
91,153,"1982-02-02","1982-01-20","Kevin Howlett","Unknown","","Maida Vale 4"
92,154,"1974-10-10","1974-10-09","Tony Wilson","Bill Aitken","","Maida Vale 4"
93,155,"1981-02-25","1981-02-18","Chris Lycett","Nick Gomm","","Langham 1"
94,156,"0000-00-00","2000-07-26","Simon Askew","Ralph Jordan","","Maida Vale 4"
95,157,"0000-00-00","2002-02-24","Mike Engles","Nick Fountain","","Maida Vale 4"
95,158,"2003-02-18","2003-02-05","Louise Kattenhorn","Simon Askew","","Maida Vale 4"
97,159,"1980-03-06","1980-02-27","John Etchells","Nick Gomm","","Maida Vale 4"
98,160,"1982-01-11","1981-12-23","John Owen Williams","Unknown","","Maida Vale 4"
98,161,"1983-01-05","1982-12-13","Tony Wilson","Dave Dade","","Maida Vale 4"
99,162,"1992-12-05","1992-09-09","Richard D. James","","","Artist's own studio"
99,163,"1995-04-14","1995-04-10","","","","Artist's own studio"
99,164,"0000-00-00","0000-00-00","Andy Rogers","","","Atp 2002"
100,165,"2002-09-25","2002-09-01","Mike Engles","Guy Worth","","Maida Vale 4"
100,166,"0000-00-00","2004-08-18","Jerry Smith","George Thomas","","Maida Vale 4"
101,167,"1982-08-25","1982-07-12","Tony Wilson","Martin Colley","","Maida Vale 4"
102,168,"0000-00-00","2004-05-13","Simon Askew","Jamie Hart","","Yalding 4"
103,169,"0000-00-00","2001-06-12","Simon Askew","Jamie Hart","","Maida Vale 4"
104,170,"1998-10-06","1998-09-06","Mike Engles","Kevin Rumble","","Maida Vale 4"
104,171,"0000-00-00","1999-09-03","Mike Engles","Kevin Rumble","","Maida Vale 4"
104,172,"0000-00-00","2001-07-22","Mike Engles","Nick Fountain","","Maida Vale 4"
104,173,"2001-10-31","2001-10-31","Andy Rogers","Simon Askew","","Academy"
