artist_id	year	chart_position	track_title	folder	isrc	file	id	url_key
1221	2004	38	Eyeliner	2004	noisrc		692	czqvh
1221	2001	35	I Don't Believe In You	2001	noisrc		693	rg54z
1221	2002	43	So Good	2002	noisrc	melys_SoGood.aiff	694	hj8cg
1221	2001	1	Chinese Whispers	2001	noisrc	MercRev_DarkRising.aiff	695	zfvrj
1221	1998	24	Lemming, Chameleon Of Feelings	1998	GB-BNF-97-00025		696	gwczb
1222	1985	11	Ironmasters	1985	GB-AFR-85-10042	MenTheyCouldntHang_Ironmasters.aiff	697	j9rgw
1222	1984	3	Green Fields Of France	1984	GB-AFR-85-10044	Men They Couldn't Hang - The Green Fields Of Franc	698	fdhj9
1225	1991	49	Car Wash Hair	1991	US-VT1-99-00078	mercuryrev_CarWashHair.aiff	699	b6zfd
1225	1998	33	Goddess On A Highway	1998	US-VT1-98-00085	Mercury Rev - Goddess On A Hiway.aiff	700	wxgb6
1225	2001	44	Dark Is Rising	2001	Y7-921-00-01683	melys_SoGood.aiff	701	9pjwx
1241	1986	34	Like An Angel	1986	GB-AYK-86-00043	mightlemondrops_likeanangel.aiff	702	d3f9p
1242	2000	39	Soul Boy	2000	noisrc		703	6mbd3
1243	1986	44	Is There Anyone Out There?	1986	noisrc	mightymighty_is_there_anyone_outthere.aiff	704	x2w6m
1249	2003	21	I Am The Party	2003	noisrc		705	pn9x2
1251	1992	3	Jesus Built My Hotrod	1992	US-WB1-99-00731	Ministry_JesusBuiltmyHotrod.aiff	706	3qdpn
1256	2001	42	Don't Speak My Mind	2001	noisrc	msblckamrica_DontSpeakMyMind.aiff	707	m563q
1256	2002	3	Talk Hard	2002	noisrc	msblckamrica_TalkHard.aiff	708	28xm5
1256	2002	45	Infinite Chinese Box	2002	noisrc	msblckamrica_InfiniteChineseBox.aiff	709	nvp28
1256	2002	11	Miss Black America	2002	noisrc		710	q43nv
1256	2001	14	Human Punk	2001	noisrc	msblckamrica_HumanPunk.aiff	711	5cmq4
1257	1999	48	Living City Plan	1999	GB-BZA-99-03001		712	8r25c
1259	1986	49	Serpent's Kiss	1986	noisrc		713	vhn8r
1262	1976	30	I Can Take You To The Sun	1976	GB-FO8-66-00619	The Misunderstood - I Can Take You to the Sun.aiff	714	4zqvh
1267	1980	56	White Mice	1980	noisrc	The Mo-Dettes -  White Mice.aiff	715	cg54z
1269	1999	25	Stanley Kubrick	1999	GB-CGR-99-60012	mogwai_StanKubrick.aiff	716	rj8cg
1269	2001	22	Two Rights Make One Wrong	2001	noisrc	mogwai_2Rights1Wrong.aiff	717	hfvrj
1269	2001	10	My Father The King	2001	GB-ENL-01-00007	Mogwai_FatherKing.aiff	718	zb4hf
1269	1999	14	Cody	1999	GB-CGR-99-60001	mogwai_Cody.aiff	719	g9rgw
1269	2003	6	Ratts Of The Capital	2003	GB-ENL-03-00089	mogwai_RattsOfTheCapital.aiff	720	jdhj9
1269	2003	3	Hunted By A Freak	2003	GB-ENL-03-00084	mogwai_HuntedByAFreak.aiff	721	f6zfd
1269	1997	2	New Paths To Helicon	1997	noisrc	mogwai_NewPaths1.aiff	722	bxgb6
1269	1998	2	Xmas Steps	1998	GB-CGR-98-60000	mogwai_XmasSteps.aiff	723	wpjwx
1271	1999	51	Injured Birds	1999	GB-BPN-01-00001		724	93f9p
1282	1991	17	Suzanne	1991	noisrc	moose_suzanne	725	dmbd3
1284	1990	16	November Spawned A Monster	1990	noisrc	Morrissey_NovSpawnedAMonster.aiff	726	62w6m
1284	1989	18	Last Of The Famous International Playboys	1989	GB-AYE-89-00172	Morrissey_TheLastOfTheFamousIntrnlPlayboys.aiff	727	xn9x2
1284	1988	13	Suedehead	1988	GB-AYE-88-00106	Morrisey-Suedehead.aiff	728	pqdpn
1284	1989	47	Interesting Drug	1989	GB-AYE-89-00170	Morrissey_InterestingDrug.aiff	729	3563q
1284	1988	12	Everyday Is Like Sunday	1988	GB-AYE-88-00104	Morrisey-Everyday Is Like Sunday.aiff	730	m8xm5
1284	1988	22	Late Night Maudlin Street	1988	GB-AYE-88-00233	Morrisey-Late Night, Maudlin Street.aiff	731	2vp28
1284	1989	20	Ouija Board, Ouija Board	1989	GB-AYE-89-00173	Morrissey_Ouija BoardOuija Board.aiff	732	n43nv
1284	1988	23	Disappointed	1988	GB-AYE-88-00162	Morrisey-Disappointed (Live).aiff	733	qcmq4
1288	1987	22	Big Rock Candy Mountain	1987	noisrc	motorcycleboy_bigrockcandymtn.aiff	734	5r25c
