id	name	image	biog	url_key
204	Billy Bragg	NULL	NULL	c963q
205	Billy J. Kramer	NULL	NULL	rdxm5
206	Billy Mackenzie	NULL	NULL	h6p28
207	Billy Mahonie	NULL	NULL	zx3nv
208	Birdhouse	NULL	NULL	g325c
209	Birdland	NULL	NULL	jmn8r
210	bis	NULL	NULL	f2qvh
211	Bivouac	NULL	NULL	bn54z
212	Bizarre Inc.	NULL	NULL	wq8cg
213	Black	NULL	NULL	95vrj
214	Black Dog	NULL	NULL	d84hf
215	Black Keys	NULL	NULL	6vczb
216	Black Roots	NULL	NULL	x4rgw
217	Black Sabbath	NULL	NULL	pchj9
218	Black Star Liner	NULL	NULL	3rzfd
219	Blackheart Procession	NULL	NULL	mhgb6
220	Blade	NULL	NULL	2zjwx
221	Blancmange	NULL	NULL	ngf9p
222	Blank Students	NULL	NULL	qjbd3
223	Bleach	NULL	NULL	5fw6m
224	Blithe	NULL	NULL	8b9x2
225	Blizzard Boys	NULL	NULL	vwdpn
226	Bloc Party	NULL	NULL	4963q
227	Blodwyn Pig	NULL	NULL	cdxm5
228	Blonde Redhead	NULL	NULL	r6p28
229	Blood And Roses	NULL	NULL	hx3nv
230	Bloody Hollies	NULL	NULL	zpmq4
231	Blubber	NULL	NULL	gmn8r
232	Blue	NULL	NULL	j2qvh
233	Blue Orchids	NULL	NULL	fn54z
234	Blue Poland	NULL	NULL	bq8cg
235	Blueboy	NULL	NULL	w5vrj
236	Blueskins	NULL	NULL	984hf
237	Bluetip	NULL	NULL	dvczb
238	Bluetones	NULL	NULL	64rgw
239	Blur	NULL	NULL	xchj9
240	Blurt	NULL	NULL	przfd
241	B-Movie	NULL	NULL	3hgb6
242	Boards Of Canada	NULL	NULL	mzjwx
243	Bob	NULL	NULL	2gf9p
244	Bob Dylan	NULL	NULL	njbd3
245	Bob Marley & The Wailers	NULL	NULL	qfw6m
246	Bob Sargeant	NULL	NULL	5b9x2
247	Bob Tilton	NULL	NULL	8wdpn
248	Bodines	NULL	NULL	v963q
249	Bogshed	NULL	NULL	4dxm5
250	Bolt Thrower	NULL	NULL	c6p28
251	Bomb Disneyland	NULL	NULL	rx3nv
252	Bone	NULL	NULL	hpmq4
253	Bone Orchard	NULL	NULL	z325c
254	Bong Ra	NULL	NULL	g2qvh
255	Bongos & The Groovies	NULL	NULL	jn54z
256	Bongwater	NULL	NULL	fq8cg
257	Bonnie 'Prince' Billy	NULL	NULL	b5vrj
258	Bonzo Dog Doo Dah Band	NULL	NULL	w84hf
259	Boo Radleys	NULL	NULL	9vczb
260	Boom Bip	NULL	NULL	d4rgw
261	Boomtown Rats	NULL	NULL	6chj9
262	Boothill Foot Tappers	NULL	NULL	xrzfd
263	Boots For Dancing	NULL	NULL	phgb6
264	Boss Hog	NULL	NULL	3zjwx
265	Bothy Band	NULL	NULL	mgf9p
266	Bourbonese Qualk	NULL	NULL	2jbd3
267	Bourgie Bourgie	NULL	NULL	nfw6m
268	Bow Wow Wow	NULL	NULL	qb9x2
269	Bowery Electric	NULL	NULL	5wdpn
270	Bowles Brothers	NULL	NULL	8963q
271	Box Of Toys	NULL	NULL	vdxm5
272	Boxer	NULL	NULL	46p28
273	Boyracer	NULL	NULL	cx3nv
274	Boys	NULL	NULL	rpmq4
275	Boys Of The Lough	NULL	NULL	h325c
276	Bracket	NULL	NULL	zmn8r
277	Brainiac	NULL	NULL	gn54z
278	Brand X	NULL	NULL	jq8cg
279	Brassy	NULL	NULL	f5vrj
280	Bratmobile	NULL	NULL	b84hf
281	Brave Captain	NULL	NULL	wvczb
282	Breed	NULL	NULL	94rgw
283	Breeders	NULL	NULL	dchj9
284	Brian Jones Town Massacre	NULL	NULL	6rzfd
285	Brides Make Acid	NULL	NULL	xhgb6
286	Bridewell Taxis	NULL	NULL	pzjwx
287	Bridget St. John	NULL	NULL	3gf9p
288	Brigandage	NULL	NULL	mjbd3
289	Brilliant	NULL	NULL	2fw6m
290	Brilliant Corners	NULL	NULL	nb9x2
291	Brinsley Schwarz	NULL	NULL	qwdpn
292	British Lions	NULL	NULL	5963q
293	Broadcast	NULL	NULL	8dxm5
294	Broccoli	NULL	NULL	v6p28
295	Broken Dog	NULL	NULL	4x3nv
296	Broken Family Band	NULL	NULL	cpmq4
297	Bronski Beat	NULL	NULL	r325c
298	Bruce Springsteen	NULL	NULL	hmn8r
299	Bryn Haworth	NULL	NULL	z2qvh
300	Buckfunk 3000	NULL	NULL	gq8cg
301	Buddy Knox	NULL	NULL	j5vrj
302	Budgie	NULL	NULL	f84hf
303	Buffalo Tom	NULL	NULL	bvczb
