artist_id	id	tx_date	record_date	producer	engineer1	engineer2	studio	url_key
1322	2286	1972-11-02	1972-10-30	Bernie Andrews	Unknown		Langham 1	b49x2
1322	2287	1973-04-05	1973-04-02	Bernie Andrews	Unknown		Langham 1	wcdpn
1323	2288	2001-10-02	2001-08-21	George Thomas	Guy Worth		Maida Vale 4	9r63q
1323	2289	2004-03-19	2004-03-19	Simon Askew	Nick Scripps		Maida Vale 4	dhxm5
1324	2290	1993-04-24	1993-03-24	Ted De Bono	Ted/Tim Durham		Maida Vale 4	6zp28
1324	2291	1994-04-09	1994-03-24	James Birtwistle	Miti Adhikari		Maida Vale 4	xg3nv
1324	2292	1995-05-27	1995-05-02	Dave Dade	BJ		Maida Vale 4	pjmq4
1324	2293	1995-10-20	1995-10-19				Glasgow '95	3f25c
1324	2294	1998-06-03	1998-03-03	Mike Engles	Nick Fountain		Maida Vale 4	mbn8r
1324	2295	NULL	1999-12-04	Andrew Rogers	Simon Askew		Queen Ellizabeth Hall, London	2wqvh
1324	2296	NULL	2001-03-04	Mike Engles	Guy Worth		Maida Vale 4	n954z
1325	2297	1990-12-08	1990-11-13	Mike Robinson	Mike Robinson		Maida Vale 5	qd8cg
1326	2298	1972-08-04	1972-07-11	John Muir	Unknown		Studio T1, Transcription Service, Kensington House	56vrj
1326	2299	1974-02-07	1974-01-31	Jeff Griffin	Bill Aitken		Langham 1	8x4hf
1326	2300	1977-05-24	1977-05-18	Malcolm Brown	Nick Gomm		Maida Vale 4	vpczb
1328	2301	NULL	2001-02-22	Simon Askew				43rgw
1329	2302	1993-04-09	1993-03-14	Mike Engles	Chris Maclean/Me		Maida Vale 3	cmhj9
1330	2303	1979-03-22	1979-03-14	John Sparrow	Nick Gomm		Maida Vale 4	r2zfd
1331	2304	1980-10-14	1980-10-08	Bob Sargeant	Nick Gomm		Maida Vale 4	hngb6
1333	2305	1994-05-13	NULL				Artist's own studio	zqjwx
1334	2306	1982-04-22	1982-04-10	Dale Griffin	Phil Stannard		Maida Vale 6	g8bd3
1335	2307	1996-04-21	1996-03-24	Mike Engles	Paul Long		Maida Vale 3	jvw6m
1335	2308	1997-07-22	NULL				Artist's own studio	f49x2
1336	2309	1993-06-12	1993-05-09	Mike Engles	M.E/George Thomas		Maida Vale 3	bcdpn
1337	2310	1995-01-28	1994-11-22	Ted De Bono	Simon Askew		Maida Vale 4	wr63q
1338	2311	1990-01-09	1989-12-19	Dale Griffin	James Birtwistle		Maida Vale 5	9hxm5
1338	2312	1990-11-24	1990-11-11	Dale Griffin	Miti Adhikari	Andrew Rogers	Maida Vale 3	dzp28
1338	2313	1993-01-15	1992-10-08	Dale Griffin	N.Gomm/J.Leong		Maida Vale 4	6g3nv
1339	2314	1977-10-14	1977-10-03	Malcolm Brown	Dave Dade		Maida Vale 4	xjmq4
1340	2315	1984-01-04	1983-12-14	Roger Pusey	Harry Parker		Maida Vale 4	pf25c
1341	2316	1981-02-16	1981-01-26	Tony Wilson	Dave Dade		Langham 1	3bn8r
1341	2317	1998-11-30	1998-08-30	Cunningham/Rogers	Miti		Reading Festival	mwqvh
1341	2318	1998-12-30	1998-11-24	Miti Adhikari	George Thomas		Maida Vale 4	2954z
1341	2319	1982-06-01	NULL	Unknown	Unknown		Private studio	nd8cg
1342	2320	1983-03-21	1983-03-07	Tony Wilson	Unknown		Maida Vale 4	q6vrj
1343	2321	1972-07-11	1972-06-05	John Walters	Unknown		Maida Vale 4	5x4hf
1343	2322	1972-12-07	1972-11-27	Bernie Andrews	Unknown		Unknown	8pczb
1343	2323	1973-09-20	1973-08-06	Bernie Andrews	Unknown		Unknown	v3rgw
1343	2324	1974-01-31	1974-01-24	John Walters	Unknown		Unknown	4mhj9
1343	2325	1974-11-07	1974-10-28	John Walters	Unknown		Unknown	c2zfd
1343	2326	1975-11-12	1975-10-14	Unknown	Unknown		Maida Vale 4	rngb6
1343	2327	1976-07-23	1976-07-08	Unknown	Unknown		Maida Vale 4	hqjwx
1343	2328	1977-04-26	1977-04-19	Jeff Griffin	Mike Robinson		Maida Vale 4	z5f9p
1344	2329	NULL	1984-03-28	Roger Pusey	Nick Gomm		Maida Vale 5	gvw6m
1344	2330	2001-10-11	2001-10-11	Sam Cunningham	George Thomas		Kings College	j49x2
1345	2331	1969-08-06	1969-08-05	Pete Ritzema	Mike Harding		Maida Vale 5	fcdpn
1346	2332	1979-07-18	1979-07-11	Trevor Dunn	Nick Gomm		Maida Vale 4	br63q
1347	2333	1973-08-30	1973-08-20	Bernie Andrews	Unknown		Langham 1	whxm5
1348	2334	1974-12-03	1974-11-18	John Walters	Unknown		Maida Vale 4	9zp28
1349	2335	1996-10-12	1996-09-22	Alison Howe	Mike Engles		Maida Vale 4	dg3nv
1350	2336	2002-06-04	2002-05-03	Steve Albini				6jmq4
1350	2337	2002-07-04	2002-07-04	Andy Rogers	George Thomas		Peel Acres	xf25c
1350	2338	2003-01-09	2002-12-05	Louise Kattenhorn	Simon Askew		Maida Vale 4	pbn8r
1350	2339	2003-05-01	2003-05-04	Louise Kattenhorn	George Thomas		Peel Acres	3wqvh
1350	2340	2003-10-29	2003-10-29	Sam/Andy	Miti Adhikari		Old Market	m954z
1350	2341	2004-06-10	2004-06-10	Louise Kattenhorn	Andy Rogers		Peel Acres	2d8cg
1351	2342	1989-11-22	1989-10-26	Dale Griffin	Ted De Bono		Maida Vale 4/5	n6vrj
1351	2343	1990-11-03	1990-10-21	Dale Griffin	Mike Engles	Fred Kay	Maida Vale 3	qx4hf
1351	2344	1991-11-03	1991-09-03	Dale Griffin	Mike Engles	Tim Durham	Maida Vale 5	5pczb
1352	2345	1988-05-25	1988-05-17	Mike Robinson	Mike Robinson		Unknown	83rgw
1352	2346	1989-06-19	1989-05-30	Dale Griffin	Mike Robinson		Maida Vale 3	vmhj9
1353	2347	1980-06-19	1980-05-20	Bob Sargeant	Mike Robinson		Maida Vale 4	42zfd
1354	2348	1979-12-17	1979-11-28	Trevor Dann	Nick Gomm		Maida Vale 4	cngb6
1355	2349	1998-02-04	1997-12-21	Mike Engles	Ralph Jordan		Maida Vale 4	rqjwx
1355	2350	NULL	2000-09-10	Mike Engles			Maida Vale 3	h5f9p
1357	2351	NULL	1999-02-09	Mike Robinson	Nick Fountain		Maida Vale 4	z8bd3
1358	2352	NULL	2004-06-17	Simon Askew	Nick Fountain		Maida Vale 4	g49x2
1360	2353	NULL	1989-11-05	Dale Griffin	Mike Engles			jcdpn
1359	2354	1996-03-16	1996-03-03	Mike Engles	Ralph Jordan		Maida Vale 3	fr63q
1361	2355	1995-12-15	1995-11-12	Mike Engles	Nick King		Maida Vale 3	bhxm5
1362	2356	1981-08-06	1981-08-01	Dale Griffin	Mike Robinson		Maida Vale 4	wzp28
1363	2357	1997-04-15	1997-03-11	Dave Dade	Jonathan Leong		Maida Vale 4	9g3nv
1363	2358	1996-03-18	NULL	Phil Ross	C.Lee	Peel/Radcliffe	Manchester 3	djmq4
1364	2359	2003-04-23	2003-03-13	Louise Kattenhorn	Simon Askew		Maida Vale 4	6f25c
1364	2360	NULL	2004-04-29	Simon Askew	George Thomas		Maida Vale 4	xbn8r
1365	2361	2003-07-17	2003-06-04	Simon Askew	Jamie		Maida Vale 4	pwqvh
1366	2362	1983-05-05	1983-04-27	Roger Pusey	Nick Gomm		Maida Vale 4	3954z
1367	2363	1993-03-12	1993-02-09	Mike Robinson	M R/Miti Adhikari		Maida Vale 4	md8cg
1368	2364	1975-01-13	1974-12-30	John Walters	Unknown		Unknown	26vrj
1369	2365	1997-04-09	1997-03-18	Mike Robinson	Lisa Softley		Maida Vale 4	nx4hf
1370	2366	1991-08-03	1991-06-18	Mike Robinson	Mike Robinson		Maida Vale 5	qpczb
1371	2367	1984-02-13	1984-02-01	Dale Griffin	Nick Gomm		Maida Vale 4	53rgw
1371	2368	1984-11-28	1984-11-20	Dale Griffin	Mike Robinson		Maida Vale 5	8mhj9
1372	2369	NULL	1999-01-31	Mike Engles	Kevin Rumble		Maida Vale 3	v2zfd
1372	2370	NULL	1999-10-25	Andrew Rogers	Simon Askew		Pickett,Liver	4ngb6
1373	2371	1980-10-30	1980-10-21	John Sparrow	Mike Robinson		Maida Vale 4	cqjwx
1373	2372	1981-08-10	1981-08-03	Tony Wilson	Dave Dade		Maida Vale 4	r5f9p
1374	2373	1993-09-10	1993-08-05	Nick Gomm	S V		Maida Vale 4	h8bd3
1374	2374	1994-07-01	1994-06-25	Transcription			Glastonbury Festival	zvw6m
1374	2375	NULL	1999-04-24	Chris Lycett	Mike Walters		Queen Ellizabeth Hall, London	gcdpn
1374	2376	2004-07-28	2004-07-28	Andy Rogers	Nick Fountain		Maida Vale 4	jr63q
1374	2377	1996-04-12	NULL				Sound City Leeds	fhxm5
1375	2378	1983-07-18	1983-06-20	Tony Wilson	Martin Colley		Maida Vale 4	bzp28
1376	2379	1979-09-03	1979-08-20	Tony Wilson	Dave Dade		Maida Vale 4	wg3nv
1376	2380	1980-04-21	1980-04-14	Tony Wilson	Dave Dade		Maida Vale 4	9jmq4
1376	2381	1980-10-06	1980-09-29	Tony Wilson	Dave Dade		Maida Vale 4	df25c
1376	2382	1983-02-21	1983-01-29	Dale Griffin	Harry Parker	Martin Colley	Maida Vale 4	6bn8r
1377	2383	1973-07-03	NULL	Unknown	Unknown		Artist's own studio	xwqvh
1378	2384	1969-07-02	1969-07-01	Pete Ritzema	Unknown		Unknown	p954z
1379	2385	1980-09-16	1980-09-09	John Sparrow	Mike Robinson		Maida Vale 4	3d8cg
1379	2386	1981-06-24	1981-06-17	Chris Lycett	Nick Gomm		Langham 1	m6vrj
1380	2387	1987-12-01	1987-11-24	Dale Griffin	Mike Robinson	Martin Colley	Unknown	2x4hf
1380	2388	1988-08-15	1988-08-02	Mike Robinson	Mike Robinson		Maida Vale 4	npczb
1381	2389	2002-06-05	2002-06-05	Simon Askew			Maida Vale 4	q3rgw
1381	2390	NULL	2004-09-29	Rupert Flindt	Jerry Smith		Maida Vale 4	5mhj9
1382	2391	2002-10-30	2002-10-30	Sam Cunningham	Miti Adhikari		Boat Club	82zfd
1383	2392	NULL	1999-10-24	Martyn Parker			Maida Vale 3	vngb6
1384	2393	NULL	NULL					4qjwx
1385	2394	1993-11-27	1993-11-04	Paul Long	Chris Maclean		Maida Vale 4	c5f9p
1385	2395	1994-07-29	1994-06-05	Mike Engles	Nick Fountain		Maida Vale 3	r8bd3
1386	2396	1995-07-07	1995-06-11	Mike Engles	Nick Scripps		Maida Vale 3	hvw6m
1387	2397	1972-05-26	1972-05-02	John Muir	John White	Mike Engles	Studio T1, Transcription Service, Kensington House	z49x2
1388	2398	1982-12-09	1982-11-28	Unknown	Unknown		Artist's own studio	gr63q
1389	2399	1982-08-03	1982-07-19	Tony Wilson	Dave Dade		Unknown	jhxm5
1390	2400	1989-08-17	1989-07-23	John Walters	Miti Adhikari		Maida Vale 5	fzp28
1391	2401	1997-04-17	NULL				Artist's own studio	bg3nv
1392	2402	1995-11-17	1995-11-05	Mike Engles	Nick King		Maida Vale 3	wjmq4
1393	2403	2001-12-13	NULL				Artist's own studio	9f25c
1394	2404	1984-02-23	1984-02-14	Mark Radcliffe	Ted De Bono		Maida Vale 5	dbn8r
1395	2405	1984-06-18	1984-06-09	Dale Griffin	Martin Colley		Maida Vale 5	6wqvh
1396	2406	NULL	2000-04-09	Andy Rogers			Camber Sands	x954z
1397	2407	1992-03-21	1992-01-05	Dale Griffin	Mike Engles	Ralph Jordan	Maida Vale 3	pd8cg
1398	2408	1992-09-05	1992-08-19	Nick Gomm	P.Long/N.Gomm		Maida Vale 3	36vrj
1398	2409	1995-05-12	1995-03-14	Adam Askew	Julian Markham		Maida Vale 4	mx4hf
1399	2410	1990-09-27	1990-08-26	Dale Griffin	Miti Adhikari	Fred Kay	Maida Vale 3	2pczb
1399	2411	1991-10-27	1991-09-10	Peter Watts	Mike Engles	Andy Meeson	Maida Vale 5	n3rgw
1400	2412	2002-11-07	2002-10-16	Jerry Smith	Guy Worth		Maida Vale 4	qmhj9
1401	2413	1984-11-29	1984-11-17	Dale Griffin	Martin Colley		Maida Vale 4	52zfd
1402	2414	1991-07-13	1991-05-19	Dale Griffin	Mike Engles	Gary Parker	Maida Vale 3	8ngb6
1404	2415	1969-04-02	1969-03-26	Unknown	Unknown		Studio S1, Sub-Basement, Broadcasting House	vqjwx
1404	2416	1969-07-30	1969-07-29	Unknown	Unknown		Unknown	45f9p
1405	2417	1978-02-15	1978-02-08	Malcolm Brown	Nick Gomm		Maida Vale 4	c8bd3
1405	2418	1978-07-31	1978-07-19	Bob Sargeant	Nick Gomm		Maida Vale 4	rvw6m
1405	2419	1979-04-17	1979-04-10	Trevor Dann	Mike Robinson		Maida Vale 6	h49x2
1406	2420	1973-02-27	1973-02-12	John Walters	Unknown		Studio T1, Transcription Service, Kensington House	zcdpn
1407	2421	1978-11-28	1978-11-20	Tony Wilson	Dave Dade		Maida Vale 4	ghxm5
1408	2422	1987-08-05	1987-07-28	Dale Griffin	Mike Robinson	Simon Clifford	Unknown	jzp28
1409	2423	NULL	1971-06-07					fg3nv
1410	2424	1980-03-31	1980-03-19	John Etchells	Nick Gomm		Maida Vale 4	bjmq4
1411	2425	1992-07-10	1992-06-23	Mike Robinson	Mike Robinson		Maida Vale 4	wf25c
1411	2426	1993-03-19	1992-12-14	Mike Robinson	M Robinson/James		Brixton Academy	9bn8r
1411	2427	1993-02-19	1992-12-15	James Birtwistle	Jb/Ralph Jordan		Maida Vale 4	dwqvh
1411	2428	1994-02-26	1994-02-11	James Birtwistle	Paul Allen		Maida Vale 5	6954z
1411	2429	1995-08-27	1995-08-27	Miti			Reading Festival '95	xd8cg
1411	2430	1997-08-21	1997-08-21	Adam Askew	Kevin Rumble		Maida Vale 4	p6vrj
1411	2431	NULL	1999-08-31	Andrew Rogers	Simon Askew		Maida Vale 3	3x4hf
1412	2432	1971-12-22	1971-11-30	John Walters	Bob Conduct		Maida Vale 4	mpczb
1413	2433	1978-07-10	1978-07-05	Bob Sargeant	Nick Gomm		Maida Vale 4	23rgw
1413	2434	1979-03-07	1979-02-28	John Sparrow	Nick Gomm		Maida Vale 4	nmhj9
1414	2435	2003-01-29	2003-01-10	Louise Kattenhorn			Artist's own studio	q2zfd
1415	2436	NULL	2000-04-19	Simon Askew	Steve Bridges		Maida Vale 4	5ngb6
1416	2437	1989-08-07	1989-06-27	Dale Griffin	Mike Engles		Eden Sound, London	8qjwx
1417	2438	1988-07-25	1988-07-10	Dale Griffin	Mike Engles		Maida Vale 5	v5f9p
1418	2439	1984-08-23	1984-08-15	John Owen Williams	Nick Gomm		Maida Vale 5	48bd3
1419	2440	1997-09-09	1997-08-19	Adam Askew	Barry Jordan		Maida Vale 4	cvw6m
1420	2441	2000-03-12	2000-02-13	Mike Engles	Nick Fountain		Maida Vale 3	r49x2
1420	2442	NULL	2002-03-24	Mike Engles	Nick Scripps		Maida Vale 4	hcdpn
1420	2443	NULL	2004-04-15	Simon Askew	Nick Fountain		Maida Vale 4	zr63q
1421	2444	1982-11-23	1982-11-10	Roger Pusey	Unknown		Unknown	gzp28
1421	2445	1983-07-28	1983-07-16	Dale Griffin	Mike Robinson		Maida Vale 4	jg3nv
1421	2446	1984-04-16	1984-04-04	Paul Smith	Nick Gomm		Maida Vale 5	fjmq4
1422	2447	1994-04-01	1994-02-20	Mike Engles	Lisa Softley		Maida Vale 3	bf25c
1422	2448	1995-08-11	1995-07-23	Mike Engles	Tony Baker		Maida Vale 3	wbn8r
1423	2449	2002-10-10	2002-10-02	Miti Adhikari	Guy Worth		Maida Vale 4	9wqvh
1424	2450	NULL	1975-09-18					d954z
1425	2451	NULL	1985-08-03					6d8cg
1426	2452	1980-10-27	1980-10-14	John Sparrow	Mike Robinson		Maida Vale 4	x6vrj
1427	2453	1973-07-24	1973-07-09	John Walters	Unknown		Studio T1, Transcription Service, Kensington House	px4hf
1427	2454	1974-03-05	1974-02-18	Tony Wilson	Unknown		Studio T1, Transcription Service, Kensington House	3pczb
1427	2455	1974-09-03	1974-08-19	Tony Wilson	Unknown		Studio T1, Transcription Service, Kensington House	m3rgw
1427	2456	1977-04-21	1977-04-13	Unknown	Nick Gomm		Maida Vale 4	2mhj9
1427	2457	1979-09-24	1979-09-12	John Etchells	Nick Gomm		Maida Vale 4	n2zfd
1428	2458	1973-06-14	1973-06-11	Bernie Andrews	Unknown		Langham 1	qngb6
1428	2459	1973-11-22	1973-11-12	Bernie Andrews	Unknown		Langham 1	5qjwx
1429	2460	1988-11-21	1988-11-13	Dale Griffin	James Birtwistle		The Hippodrome, Golders Green, London	85f9p
1430	2461	1972-11-21	1972-10-24	Unknown	Bob Conduct		Unknown	v8bd3
1430	2462	1974-03-12	1974-02-12	Unknown	Unknown		Langham 1	4vw6m
1431	2463	1992-08-07	1992-07-21	Ted De Bono	Paul Allen	Ted De Bono	Maida Vale 4	c49x2
1431	2464	1994-07-02	1994-05-22	Mike Engles	Tim Durham		Maida Vale 3	rcdpn
1431	2465	1996-07-14	1996-05-26	Mike Engles	Paul Long		Maida Vale 3	hr63q
1432	2466	1974-05-16	1974-05-07	Unknown	Bob Conduct		Langham 1	zhxm5
1433	2467	2004-06-23	2004-06-17	Andy Rogers	George Thomas		Sonar, Barcelona, Spain	gg3nv
1434	2468	NULL	2000-06-28	Miti Adhikari			Maida Vale 4	jjmq4
1435	2469	1977-10-10	1977-09-28	Dave Price	Nick Gomm		Maida Vale 4	ff25c
1436	2470	2003-10-23	2003-08-12	Miti	Guy Worth		Maida Vale 4	bbn8r
1437	2471	1981-09-15	1981-09-09	Dale Griffin	Nick Gomm		Maida Vale 4	wwqvh
1438	2472	1985-08-21	1985-08-11	Dale Griffin	Mike Robinson		Maida Vale 5	9954z
1438	2473	1986-05-06	1986-04-27	Dale Griffin	Mike Engles	Tim Durham	Maida Vale 5	dd8cg
1439	2474	1979-12-17	1979-12-10	Tony Wilson	Dave Dade		Maida Vale 4	66vrj
1440	2475	NULL	1999-04-04	Mike Engles	Simon Askew		Maida Vale 3	xx4hf
1441	2476	NULL	NULL				Artist's own studio	ppczb
1442	2477	2002-02-07	2002-01-27	Mike Engles			Maida Vale 4	33rgw
1443	2478	1967-10-01	1967-09-25	Peter Harwood	Bernie Andrews		Playhouse Theatre, Northumberland Avenue	mmhj9
1443	2479	1967-12-31	1967-12-20	Bernie Andrews	Unknown		Maida Vale 4	22zfd
